,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,GBM_1_AutoML_20181214_154729,823.3311856467726,28.693748197939787,823.3311856467726,13.279242797882993,
2,DRF_1_AutoML_20181214_154729,844.2835511164287,29.056557798824496,844.2835511164287,13.386256340192617,0.081972263207144
5,XRT_1_AutoML_20181214_154729,879.0217214126579,29.64830048101675,879.0217214126579,13.835282979172714,0.07714193912804791
8,StackedEnsemble_BestOfFamily_AutoML_20181214_154729,1633.7738548809757,40.41996851657576,1633.7738548809757,30.65066660354607,
9,GLM_grid_1_AutoML_20181214_154729_model_1,548369.9495577625,740.520053447415,548369.9495577625,725.9753131940857,4.9788095235128536
