,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,GLM_grid_1_AutoML_20181214_163049_model_1,29.027843887644586,5.387749426954132,29.027843887644586,4.297588518150783,0.1072283048138452
1,StackedEnsemble_BestOfFamily_AutoML_20181214_163049,29.21148734482168,5.404765244191618,29.21148734482168,4.318418818322945,0.10579690680950707
3,DeepLearning_grid_1_AutoML_20181214_163049_model_3,31.76377001179147,5.635935593296952,31.76377001179147,4.515475233219006,0.10905525615398423
10,GBM_grid_1_AutoML_20181214_163049_model_26,34.070858977304894,5.8370248395312565,34.070858977304894,4.645731210873231,0.14512333011026513
44,DRF_1_AutoML_20181214_163049,41.527439904137744,6.4441787610321395,41.527439904137744,5.080706353652982,0.15581706067029308
46,XRT_1_AutoML_20181214_163049,42.15631827897178,6.492789714673637,42.15631827897178,5.231749654920863,0.1547848544984662
