,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
1,StackedEnsemble_BestOfFamily_AutoML_20181214_171415,148.79405513734795,12.198116868490315,148.79405513734795,9.715667285297307,0.5474310039760577
2,GBM_1_AutoML_20181214_171415,151.04037259878754,12.28984835540242,151.04037259878754,9.609440252018233,0.530785880539507
3,DeepLearning_grid_1_AutoML_20181214_171415_model_4,152.8734102174713,12.364198729293838,152.8734102174713,9.738333922285863,0.5393808697119574
17,DRF_1_AutoML_20181214_171415,166.01826516461068,12.884807533083706,166.01826516461068,10.236246751022296,0.5605458652424625
20,XRT_1_AutoML_20181214_171415,170.6338839807054,13.062690533757026,170.6338839807054,10.257919248479789,0.5894721444874784
37,GLM_grid_1_AutoML_20181214_171415_model_1,209.29641634355667,14.467080436064382,209.29641634355667,11.279220529657008,0.6883495163959169
