,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance,validation_rmse,validation_mae,validation_deviance
0,,2018-12-14 17:14:16, 0.561 sec,0.0,,,,,,
1,,2018-12-14 17:14:16, 0.568 sec,1.0,17.058421064377104,13.080664860138755,290.98972920958454,16.17987704655277,12.502261866080133,261.78842124156523
2,,2018-12-14 17:14:16, 0.575 sec,2.0,16.784946535281783,12.900253026684124,281.73443019226795,14.153975272207758,10.67040725875842,200.33501600626866
3,,2018-12-14 17:14:16, 0.581 sec,3.0,16.084500954578587,12.37121409946153,258.71117095783944,13.77871111751808,10.237299490001119,189.85288006001633
4,,2018-12-14 17:14:16, 0.588 sec,4.0,15.703879762189388,11.868773881839045,246.6118395853014,13.255673521231877,10.11460839339385,175.71288050148792
5,,2018-12-14 17:14:16, 0.596 sec,5.0,15.18476658285088,11.356603083463236,230.57713617566478,13.25536441954911,9.722191503879273,175.70468589504853
6,,2018-12-14 17:14:16, 0.604 sec,6.0,14.839739616713974,11.092728862065915,220.2178718918702,13.433472555220678,9.880214071914292,180.4581848918672
7,,2018-12-14 17:14:16, 0.612 sec,7.0,14.544493383173132,10.911431178327009,211.542287773167,13.06704988372081,9.652924318846908,170.747792663648
8,,2018-12-14 17:14:16, 0.619 sec,8.0,14.608172176921327,10.991967926427295,213.3986943505784,13.001546272072757,9.581408384697218,169.04020546484898
9,,2018-12-14 17:14:16, 0.626 sec,9.0,14.143208922450663,10.71039035645583,200.03035862408802,13.167326168728454,9.77895483731875,173.37847843368118
10,,2018-12-14 17:14:16, 0.637 sec,10.0,14.127587945167884,10.725801989320326,199.5887411484529,12.914336876176366,9.648158768446823,166.78009695136873
11,,2018-12-14 17:14:16, 0.644 sec,11.0,13.588729704723052,10.434315539890997,184.65357498802265,12.956095929702244,9.692320318277659,167.86042173964705
