,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance,validation_rmse,validation_mae,validation_deviance
0,,2018-12-14 17:14:15, 0.660 sec,0.0,,,,,,
1,,2018-12-14 17:14:15, 0.670 sec,1.0,16.259286627535115,12.899333336251848,264.36440163634217,18.314829824358384,13.313352134666944,335.4329914952074
2,,2018-12-14 17:14:15, 0.678 sec,2.0,16.237641329107994,12.874175210946646,263.660995932756,15.077132388878292,11.220535706924764,227.31992107176282
3,,2018-12-14 17:14:15, 0.685 sec,3.0,15.415289099092528,11.936239756744731,237.6311380086009,13.993505013498046,10.696884926735308,195.81818256279493
4,,2018-12-14 17:14:15, 0.694 sec,4.0,15.133226026939077,11.630569350290925,229.01452998242627,13.39918149453883,10.286051852726622,179.53806472359184
5,,2018-12-14 17:14:15, 0.702 sec,5.0,15.053687041579325,11.548478121458295,226.61349354581327,12.925170210612496,9.73474500006751,167.06002497330468
6,,2018-12-14 17:14:15, 0.710 sec,6.0,14.93709874617986,11.422440444224465,223.11691895312796,13.235081598312359,9.970489259351766,175.16738491398644
7,,2018-12-14 17:14:15, 0.719 sec,7.0,14.395818082744665,11.117250170227155,207.23957827147828,13.145206451066251,9.997372010820792,172.7964526411538
8,,2018-12-14 17:14:15, 0.760 sec,8.0,13.91360947802884,10.82633011939133,193.58852870709399,12.829572612257461,9.654761917104846,164.59793341318672
9,,2018-12-14 17:14:15, 0.768 sec,9.0,13.924782196777402,10.740000556077472,193.8995592276889,12.806006866621411,9.621479400155833,163.99381186795472
