,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,GLM_grid_1_AutoML_20181214_170410_model_1,29.027843887644586,5.387749426954132,29.027843887644586,4.297588518150783,0.1072283048138452
1,StackedEnsemble_BestOfFamily_AutoML_20181214_170410,29.414223620060127,5.42348814141417,29.414223620060127,4.320835239755352,0.10826231107935347
3,DeepLearning_grid_1_AutoML_20181214_170410_model_2,32.54222430944481,5.704579240351107,32.54222430944481,4.5279468352855785,0.1260109781576548
4,GBM_grid_1_AutoML_20181214_170410_model_1,34.330709431129314,5.8592413699325725,34.330709431129314,4.6815130795374325,0.1477521970979764
20,DRF_1_AutoML_20181214_170410,42.31951541439947,6.505345141835249,42.31951541439947,5.149104472675852,0.15403840975992672
22,XRT_1_AutoML_20181214_170410,43.606536596655644,6.603524558647122,43.606536596655644,5.265392924016644,0.15673415108825506
