,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance,validation_rmse,validation_mae,validation_deviance
0,,2018-12-14 17:31:34, 0.646 sec,0.0,,,,,,
1,,2018-12-14 17:31:34, 0.654 sec,1.0,0.5227608123768995,0.2767973853871713,0.27327886695695597,0.474421498029444,0.24015151506120508,0.22507575779250175
2,,2018-12-14 17:31:34, 0.660 sec,2.0,0.4732738118497849,0.24131195321679116,0.2239881009828256,0.43832442155039636,0.28614718627861957,0.19212829852748958
3,,2018-12-14 17:31:34, 0.666 sec,3.0,0.4549800623876246,0.23797695343900058,0.20700685717024678,0.42150954581388445,0.28167388176150393,0.17767029721222716
4,,2018-12-14 17:31:34, 0.673 sec,4.0,0.4431867912830861,0.2378255341035377,0.1964145319677977,0.41387337715000405,0.28938041132112796,0.1712911723135495
5,,2018-12-14 17:31:34, 0.679 sec,5.0,0.4467732820946031,0.2498744016065144,0.1996063655935838,0.41580354023140165,0.29059523814781135,0.17289258406896685
6,,2018-12-14 17:31:34, 0.686 sec,6.0,0.43878631771839344,0.2556438845226756,0.19253343261686692,0.4178014829373072,0.29850739553909417,0.174558079144613
7,,2018-12-14 17:31:34, 0.692 sec,7.0,0.4321528719233371,0.2569477212563639,0.1867561047115882,0.422367353296783,0.3032119667713904,0.1783941811309295
8,,2018-12-14 17:31:34, 0.699 sec,8.0,0.42091798204160047,0.2544952338858655,0.17717194760597307,0.4238442584107564,0.3079241072886031,0.17964395538776404
9,,2018-12-14 17:31:34, 0.738 sec,9.0,0.4110783493628473,0.25181501318190513,0.16898540931488315,0.4218862971939314,0.3071699135494653,0.1779880477600062
10,,2018-12-14 17:31:34, 0.743 sec,10.0,0.39180437953947145,0.2404694909744989,0.1535106718263102,0.42115145855660924,0.3078923161564902,0.17736855104435936
11,,2018-12-14 17:31:34, 0.748 sec,11.0,0.38511400814776997,0.23649499190233572,0.14831279927164065,0.42159590178548384,0.3050670324986385,0.17774310440231533
12,,2018-12-14 17:31:34, 0.754 sec,12.0,0.384429438121764,0.23917256348482147,0.1477859928946152,0.41820352950652734,0.30331902221466106,0.1748941920917169
