,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance,validation_rmse,validation_mae,validation_deviance
0,,2018-12-14 17:18:31, 0.416 sec,0.0,,,,,,
1,,2018-12-14 17:18:32, 0.422 sec,1.0,0.46893856909222675,0.22118171675747453,0.2199033815822651,0.5050252521919459,0.25757575780153275,0.2550505053515386
2,,2018-12-14 17:18:32, 0.427 sec,2.0,0.4810869623234306,0.2529489728316635,0.23144466531758595,0.5040868332230011,0.3162878789007664,0.2541035354287937
3,,2018-12-14 17:18:32, 0.432 sec,3.0,0.4697043987422841,0.25744000001748407,0.22062222219785063,0.45993273892167,0.2941919192671776,0.21153812433198907
4,,2018-12-14 17:18:32, 0.437 sec,4.0,0.4524555617756211,0.25345611917079935,0.20471603538169286,0.4352083061886249,0.2937973485412923,0.18940626977557187
5,,2018-12-14 17:18:32, 0.442 sec,5.0,0.4398817059247967,0.24872879966821307,0.1934959152073093,0.42549752158230264,0.3044101731343702,0.18104814087268212
6,,2018-12-14 17:18:32, 0.447 sec,6.0,0.43378874495074965,0.25490658913494635,0.18817267524594655,0.4131385392505906,0.29391382874525873,0.17068345261411177
7,,2018-12-14 17:18:32, 0.452 sec,7.0,0.42843170015053117,0.2594131274260468,0.18355372169387466,0.41978286640028045,0.3119910739894424,0.1762176549232357
8,,2018-12-14 17:18:32, 0.458 sec,8.0,0.416718135627103,0.2582485450571793,0.17365400456052862,0.42218829807540026,0.31817134096160193,0.17824295903180304
9,,2018-12-14 17:18:32, 0.462 sec,9.0,0.4055666303731454,0.2556003605452118,0.16448429167222753,0.42397017804021886,0.32207516805654507,0.1797507118674549
10,,2018-12-14 17:18:32, 0.467 sec,10.0,0.40277112323924075,0.2556406194226938,0.16222457771539964,0.42253348554078957,0.3250949239781635,0.17853454640324865
