,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
1,StackedEnsemble_BestOfFamily_AutoML_20181214_171830,0.12971739379243652,0.3601630100280101,0.12971739379243652,0.2657492351307095,0.2534166250453729
2,GBM_3_AutoML_20181214_171830,0.13225121688409194,0.3636636040135058,0.13225121688409194,0.2639258938756143,0.2567369895900866
11,XRT_1_AutoML_20181214_171830,0.1404076586758397,0.3747100995113952,0.1404076586758397,0.26112296317668066,0.2653170518476919
13,DeepLearning_grid_1_AutoML_20181214_171830_model_1,0.14187805239153475,0.3766670311980261,0.14187805239153475,0.24465419976317254,0.26104376958066644
17,GLM_grid_1_AutoML_20181214_171830_model_1,0.14594559472601096,0.3820282643025395,0.14594559472601096,0.2958665886677089,0.2698390681932141
19,DRF_1_AutoML_20181214_171830,0.1486711849808671,0.3855790255976939,0.1486711849808671,0.2606370849474946,0.272685424443168
