,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance,validation_rmse,validation_mae,validation_deviance
0,,2018-12-14 15:59:38,52.862 sec,0.0,,,,,,
1,,2018-12-14 15:59:39,53.174 sec,1.0,39.54305143660532,17.898782553190923,1563.652916918014,39.77295763906355,17.952031422862532,1581.8881593587435
2,,2018-12-14 15:59:39,53.408 sec,2.0,38.30634683392754,17.53796616469085,1467.3762077611505,34.57997627842663,15.952367389782406,1195.7747594165482
3,,2018-12-14 15:59:39,53.627 sec,3.0,36.905879611268304,16.914747110110294,1362.0439498814296,32.706466472093055,15.043206773027357,1069.7129490901473
4,,2018-12-14 15:59:39,53.852 sec,4.0,35.980438205501855,16.50825383029818,1294.5919334599373,32.06275993535131,14.678095409064777,1028.0205746719691
5,,2018-12-14 15:59:39,54.076 sec,5.0,35.33876666733372,16.22292887662583,1248.8284295682568,31.660721464237774,14.442535917731616,1002.4012836360465
6,,2018-12-14 15:59:40,54.278 sec,6.0,34.60774619856657,15.904832097514115,1197.696096944399,31.156199470109126,14.213275906682451,970.7087654212282
7,,2018-12-14 15:59:40,54.476 sec,7.0,34.16533839296864,15.655544266207984,1167.2703475060573,31.06072247431081,14.14341161882216,964.7684806261567
8,,2018-12-14 15:59:40,54.691 sec,8.0,33.56865477649861,15.418401613459345,1126.854583503743,30.868982050076088,14.022692463176956,952.8940528079197
9,,2018-12-14 15:59:40,54.926 sec,9.0,33.11593504194177,15.23400301991968,1096.6651537021069,30.59870502308278,13.908099983073262,936.2807490896314
10,,2018-12-14 15:59:40,55.135 sec,10.0,32.6652882306826,15.049434927386418,1067.021055193571,30.496252604456814,13.836963526393449,930.0214229148389
11,,2018-12-14 15:59:41,55.329 sec,11.0,32.34017607163033,14.889501988947638,1045.8869883440511,30.505605303771233,13.831834349401033,930.5919549494756
12,,2018-12-14 15:59:41,55.549 sec,12.0,32.02833914015555,14.773652244103527,1025.81450807682,30.432645014100654,13.804279428534937,926.1458825542654
13,,2018-12-14 15:59:41,55.768 sec,13.0,31.751865977746924,14.655111599020193,1008.1809930688025,30.387077727622067,13.773442781555561,923.3744928245452
14,,2018-12-14 15:59:41,55.962 sec,14.0,31.4881724284887,14.540457284902427,991.5050028862358,30.30651268635036,13.738263422561955,918.4847112079152
15,,2018-12-14 15:59:41,56.146 sec,15.0,31.264966172804254,14.437179883298857,977.4981097865942,30.233678878255958,13.71328826422969,914.0753385135005
16,,2018-12-14 15:59:42,56.362 sec,16.0,31.14138156551537,14.367942535626204,969.7856458090205,30.219700715467273,13.695009282427128,913.2303113324132
17,,2018-12-14 15:59:42,56.589 sec,17.0,31.0432392614497,14.313799873898283,963.682703843612,30.15988023444621,13.654373377425706,909.6183757561391
18,,2018-12-14 15:59:42,56.790 sec,18.0,30.88339833180633,14.238621277708203,953.7842925210181,30.0425089037081,13.622916116929341,902.5523412293805
19,,2018-12-14 15:59:46, 1 min  0.859 sec,40.0,29.657614273284658,13.652975068105157,879.5740843829378,29.671905418350764,13.394382212855389,880.4219711555535
20,,2018-12-14 15:59:48, 1 min  2.760 sec,50.0,29.454244329865876,13.57153982801377,867.5525090434362,29.605386925022792,13.35494714534149,876.4789349803104
