,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,GBM_grid_1_AutoML_20181214_155845_model_4,819.3141631343389,28.6236643904015,819.3141631343389,13.66185090862664,
6,XRT_1_AutoML_20181214_155845,841.977962299476,29.016856519951915,841.977962299476,13.386883613252444,0.07739679191079132
7,DRF_1_AutoML_20181214_155845,842.1868372056047,29.020455496177252,842.1868372056047,13.374052795015135,0.08608763638720886
9,DeepLearning_1_AutoML_20181214_155845,894.447036366538,29.907307407497214,894.447036366538,14.910508205299733,
13,StackedEnsemble_BestOfFamily_AutoML_20181214_155845,1338.735127146581,36.58872950987204,1338.735127146581,26.738443039622467,
15,GLM_grid_1_AutoML_20181214_155845_model_1,548369.9495577625,740.520053447415,548369.9495577625,725.9753131940857,4.9788095235128536
