,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance,validation_rmse,validation_mae,validation_deviance
0,,2018-12-14 16:46:51, 0.518 sec,0.0,,,,,,
1,,2018-12-14 16:46:51, 0.523 sec,1.0,9.583637467262774,7.486556857013991,91.84610710392285,11.35950493337476,8.765569947895251,129.0383523313655
2,,2018-12-14 16:46:51, 0.527 sec,2.0,9.352298984728067,7.338667665582689,87.46549629974564,9.194247321277691,7.146889756855212,84.53418380482199
3,,2018-12-14 16:46:51, 0.531 sec,3.0,9.582008701332303,7.473884286323947,91.81489075240796,8.539249968139666,6.735575277763501,72.91879001837329
4,,2018-12-14 16:46:51, 0.544 sec,4.0,8.89931349732053,6.9417301733973575,79.19778072359136,7.881877343821821,6.238811492919922,62.12399046305172
5,,2018-12-14 16:46:51, 0.550 sec,5.0,8.316517942217102,6.47115833867547,69.16447068321897,7.307527236802983,5.881743292557566,53.39995431661743
6,,2018-12-14 16:46:51, 0.587 sec,6.0,7.9747563125144625,6.207330011538999,63.596738243989265,7.050525222640531,5.671851134718511,49.70990591509032
7,,2018-12-14 16:46:51, 0.591 sec,7.0,7.535157203687657,5.882996778167351,56.77859408428599,6.89343242924412,5.5093259538923,47.519410656554484
8,,2018-12-14 16:46:51, 0.596 sec,8.0,7.3417761093316765,5.7813347574673415,53.90167643955337,6.867032499992926,5.464937947925768,47.1561353559591
9,,2018-12-14 16:46:51, 0.601 sec,9.0,7.209206440715835,5.671011454726048,51.97265750485869,6.855886066294104,5.52802776760525,47.00317375400565
10,,2018-12-14 16:46:51, 0.606 sec,10.0,7.105384504667598,5.611939098100124,50.48648895917041,6.78261168571796,5.495778503417968,46.003821279237826
11,,2018-12-14 16:46:51, 0.612 sec,11.0,6.883707956425789,5.461872367334115,47.38543522935971,6.713263391032026,5.439370245682566,45.06790535737081
12,,2018-12-14 16:46:51, 0.616 sec,12.0,6.78044011109697,5.397166867290858,45.9743681001727,6.6660331143462495,5.40739013939573,44.435997481560754
13,,2018-12-14 16:46:51, 0.621 sec,13.0,6.764792867281122,5.395356391157842,45.762422537217546,6.613579295686344,5.433326387598447,43.73943110033109
