,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,GLM_grid_1_AutoML_20181214_164649_model_1,29.027843887644586,5.387749426954132,29.027843887644586,4.297588518150783,0.1072283048138452
1,StackedEnsemble_BestOfFamily_AutoML_20181214_164649,29.292093830128678,5.412217090077657,29.292093830128678,4.313335254260881,0.11002683779009656
3,DeepLearning_1_AutoML_20181214_164649,33.500128451181546,5.787929547876472,33.500128451181546,4.55809723229615,0.1402398286910553
4,GBM_grid_1_AutoML_20181214_164649_model_14,34.99289889768438,5.915479599971956,34.99289889768438,4.710676689410387,0.14843430835569524
19,XRT_1_AutoML_20181214_164649,39.75583882510542,6.3052231384071895,39.75583882510542,4.99086778114399,0.1523757893755897
25,DRF_1_AutoML_20181214_164649,42.91507128839894,6.550959570047654,42.91507128839894,5.244890636809403,0.15807269173525568
